country,Traditional vs Secular Values,Survival vs Self-expression Values,Neutrality,Fairness,Skeptisism,Societal Tranquility,Traditional vs Secular Values_Z,Survival vs Self-expression Values_Z,Neutrality_Z,Fairness_Z,Skeptisism_Z,Societal Tranquility_Z,Traditional vs Secular Values_Ranks,Survival vs Self-expression Values_Ranks,Neutrality_Ranks,Fairness_Ranks,Skeptisism_Ranks,Societal Tranquility_Ranks
Guatemala,0.3273795657536654,0.5526440436014358,0.2057385675434431,0.0924927740905002,0.1526981285598047,0.4086170019006366,0.5206667268551305,0.002786404502954402,1.3911627991072284,0.4270929182015132,-1.4034267852110194,-0.3486371678355101,26.0,30.0,7.0,20.0,63.0,41.0
,0.2535996139951644,0.5555947911560052,0.1378385542168674,0.0852281300119023,0.3298869051789477,0.2755576134347757,-2.0753995933518747,0.09310779417776327,0.38849061184317674,0.25594527151301133,0.40453866513096426,-1.3920066218439122,60.0,26.0,25.0,25.0,21.0,60.0
Indonesia,0.3045729928382389,0.5515471566054286,0.1905075830537079,0.0688919570205775,0.4044007560844566,0.6330022906625781,-0.2818192386939328,-0.03078893732599244,1.1662484907836632,-0.12891839601316402,1.164849056001055,1.4108535296821019,47.0,32.0,8.0,29.0,11.0,3.0
India,0.3211159331811176,0.5943502968980076,0.2545526068170509,0.0731978749046682,0.4246781824584681,0.5026255111257285,0.30027073612626237,1.2794007831347758,2.1119944621623667,-0.027475337726640403,1.371752038264241,0.3885194362435311,34.0,8.0,2.0,26.0,9.0,27.0
Iran,0.3290641217541945,0.5160938742345295,0.1338906265670967,0.0544757919103995,0.3706730651468,0.259662593280793,0.5799405403131668,-1.1160019801409495,0.33019198923883497,-0.4685486251318417,0.8207047986807096,-1.5166455420338132,22.0,59.0,27.0,41.0,14.0,61.0
Iraq,,0.5541499065752375,0.120460512408184,0.1200172222222222,0.1812004295326343,0.5608627312626687,,0.048880363385676306,0.13187093922436663,1.0755410008848891,-1.1126003773686768,0.845179708606322,,28.0,30.0,9.0,58.0,16.0
Jordan,0.3303873015275581,0.582459305358201,0.0459013080391048,0.0442944737121973,0.244338781699919,0.4933036368869024,0.6264987497363987,0.9154215335972921,-0.969136805293292,-0.7084101559868307,-0.46836115698431435,0.31542306215795163,17.0,11.0,53.0,48.0,41.0,30.0
Japan,0.2478704150807353,0.5456981271976663,0.0295696837210137,0.0199237565881738,0.3257283957591815,0.4857363250993031,-2.276990675875214,-0.20982575921196947,-1.210304143476803,-1.2825595346433563,0.36210685032127443,0.25608488197260854,64.0,39.0,63.0,66.0,22.0,32.0
Kazakhstan,0.3145536943029798,0.5393894450725779,0.052458552942225,0.103595818454326,0.4101665186995049,0.4872887378862385,0.06936780205483156,-0.4029323960953027,-0.8723066757053165,0.6886693827037595,1.2236806581023956,0.2682579431941851,38.0,46.0,46.0,13.0,10.0,31.0
Kenya,0.3389946913453685,0.575336335906503,0.3180172509588784,0.1670296896385344,0.3030062839146391,0.5464712058072644,0.9293636104244619,0.6973898356662688,3.049170030148813,2.1831070531607244,0.13025924711760284,0.7323302642350529,7.0,14.0,1.0,4.0,31.0,20.0
Kyrgyzstan,0.3366649438551921,0.5518006054760847,0.0498634166218926,0.0627845086405851,0.3030219965298666,0.6268718010784838,0.847387696240742,-0.02303095268453606,-0.9106287743776835,-0.27280368567059526,0.1304195725400587,1.36278202083249,11.0,31.0,50.0,33.0,30.0,4.0
"Korea, South",0.2576920124944221,0.5500892458723784,0.0713574297188755,0.089195537706381,0.30375046854083,0.3454431057563588,-1.9314019671733724,-0.07541509425595534,-0.5932289968345046,0.3494133730493685,0.13785261797607895,-0.8440078011114187,59.0,34.0,41.0,21.0,29.0,50.0
Lebanon,0.3424954954954954,0.5277236058504953,0.0381208333333333,0.0956268317314993,0.2041222928003097,0.4572152777777778,1.0525450375082515,-0.7600198089543703,-1.0840302376946545,0.5009281376616573,-0.8787145882337523,0.03244046338096113,6.0,53.0,58.0,18.0,51.0,36.0
Libya,0.3283948302252866,0.562262427811637,0.2261651918308606,0.027717971203906,0.2143809279398634,0.596411043953752,0.5563904409272921,0.297201908447479,1.692800561005423,-1.0989357431904998,-0.7740394600802147,1.1239275972826006,24.0,19.0,5.0,61.0,47.0,12.0
,0.2494324545632721,0.5710989157904874,0.0730006421286626,0.098444311483839,0.3945628892738508,0.2195502802733231,-2.222027803241184,0.5676838318700976,-0.5689638560732464,0.5673051031383348,1.0644672844350576,-1.8311814992793702,63.0,18.0,39.0,16.0,12.0,64.0
Morocco,0.3263836111111111,0.5447903301599198,0.1758708333333333,0.1385775925925925,0.24305,0.3962027777777778,0.4856224601896791,-0.23761312105014656,0.9501091833290587,1.5128045028800148,-0.4815113848426788,-0.4459818377182248,27.0,42.0,11.0,6.0,42.0,43.0
Maldives,0.3294741123832901,0.553410132804173,0.044092189473108,0.0213836863747867,0.2204377668847465,0.55036791458717,0.5943667203041679,0.026236137198295813,-0.9958518644032737,-1.2481650695317952,-0.7122378281734038,0.7628858451602054,20.0,29.0,55.0,65.0,45.0,19.0
Mexico,0.3259909563331092,0.5281389573212769,0.1280851107698593,0.1156378749622048,0.1486311679767491,0.6242677142643527,0.4718062700141199,-0.7473060402057086,0.24446256243276235,0.972368020973618,-1.4449244712516645,1.3423623821374902,28.0,52.0,28.0,11.0,64.0,5.0
Myanmar,0.2975606075664906,0.5577691174239567,0.1133875,0.0429222648503382,0.4277005555555555,0.6885326388888888,-0.5285612979445186,0.15966318954654335,0.02742452641219277,-0.7407380050777692,1.4025911593521547,1.846288186174963,50.0,23.0,31.0,50.0,8.0,1.0
Mongolia,0.2814201413870322,0.5560196831471824,0.172106227106227,0.1802493555826889,0.2766655094195985,0.2837907000407,-1.0964895717130667,0.10611359504520655,0.8945176484383995,2.4945489754175467,-0.13851178415739715,-1.3274478471804383,56.0,25.0,12.0,2.0,37.0,59.0
Malaysia,0.3145332148599475,0.576036541383076,0.218061690784463,0.167067445206059,0.338635557943108,0.5505750190403655,0.0686471998987504,0.718822889674583,1.5731370334062633,2.1839965360399014,0.4938065196556277,0.7645098302299154,39.0,13.0,6.0,3.0,19.0,18.0
Nigeria,0.3215516431930488,0.5594344647736674,0.1818777966638619,0.0597886794235246,0.292645642658194,0.6033123252448639,0.3156018939867889,0.21063891150696742,1.0388133641731392,-0.3433823836540372,0.024543288170027124,1.178043178119749,32.0,21.0,10.0,37.0,33.0,9.0
Nicaragua,0.3325520833333333,0.4982211950210956,0.1597875,0.0696559259259259,0.1987488888888889,0.5030243055555556,0.7026700808720612,-1.663078676441053,0.7126083313886014,-0.11092006342055,-0.9335427145290366,0.39164653558847506,15.0,63.0,15.0,28.0,54.0,26.0
,0.2771106140855457,0.6121502333048346,0.1393870305045666,0.0441783094753946,0.2513838518826679,0.309954797727421,-1.2481272241748353,1.8242508466036844,0.4113567944880365,-0.7111468675921135,-0.39647599738968364,-1.1222851703279089,57.0,6.0,24.0,49.0,40.0,53.0
Netherlands,0.3212839787666177,0.6276047057422737,0.0786226461042972,0.0405150951405477,0.2807704456630047,0.2085931550863214,0.30618369045028043,2.2973070472532306,-0.48594432858148323,-0.7974484820885026,-0.09662660922960102,-1.9171005002283101,33.0,1.0,38.0,52.0,36.0,66.0
New Zealand,0.3299467979047683,0.6212142689828494,0.1566369334733586,0.0354376891237555,0.3406119586002865,0.2131107959626011,0.6109989209645263,2.101697928524529,0.6660842546524923,-0.9170670183380778,0.5139729442587637,-1.8816759537244057,19.0,2.0,16.0,57.0,18.0,65.0
Pakistan,0.2940695462929553,0.5401601242832216,0.1500701042266503,0.061567561800706,0.3531090846022854,0.603036647302753,-0.6513999062384008,-0.37934216480254834,0.569112594094519,-0.30147371899045405,0.6414887636650334,1.1758814821488086,53.0,45.0,20.0,35.0,16.0,10.0
