country,cv_1,cv_2,cv_3,cv_4,cv_5
SVK,-0.49965185119184824,0.5732704650925263,-0.25123122478017923,0.4696826441417607,0.5081750831472713
THA,-0.4721006681209961,0.4853230389111687,-0.11889172938270497,0.49083795732855895,0.4801407107454484
TJK,-0.4217312661498708,0.6106689814814815,-0.14042219629902344,0.5836296296296296,0.4055555555555555
TUN,-0.3329722738057165,0.4561922379804567,-0.35936339898571645,0.4004932349019401,0.5991185097049704
TUR,-0.4075359245496127,0.4999192972842453,-0.2630504575977484,0.46846854430662355,0.4284382533431277
TWN,-0.5002762674428513,0.5773757608794404,-0.1882473958363232,0.4569311568876643,0.4755460044908416
UKR,-0.5015258780766398,0.5175643564710684,-0.2823019807091146,0.4657412681206957,0.5760451663819476
URY,-0.5625451378243858,0.6064435992739816,-0.209592611823462,0.4859264973938662,0.47022151271544793
USA,-0.5404076138988628,0.5669656634098728,-0.19737233882019065,0.3596399368265541,0.47596555327737605
UZB,-0.42397454014483105,0.5711745739340607,-0.1359567374727044,0.5039208183996214,0.3913557493307107
VEN,-0.4998257080610022,0.4019607843137255,-0.33293988354462983,0.5268907563025209,0.6125849046116024
VNM,-0.38500154320987656,0.6205115740740741,-0.1507781626573047,0.4566666666666667,0.44832096780057695
ZWE,-0.4602014958819461,0.32840945458699716,-0.1725900441515168,0.38612374406103256,0.5933393938316659
