Q164,Q8,Q14,Q15,Q17,Q184,Q254,Q45,score
0.292681838464971,0.2855577689243028,0.22176294820717132,-0.06318725099601595,-0.21933266932270917,0.3439094650205761,0.2461615154536391,0.35454954954954954,0.2587005135383846
0.4782356225572305,0.20921236291126616,0.19218344965104683,-0.12589232303090728,-0.1885343968095713,0.17827264239028945,0.5153225806451612,0.4043802966101695,0.3195906830766619
0.634232498394348,0.11669129720853862,0.1647701149425287,-0.20183087027914612,-0.12720853858784892,0.10070165643029966,0.5655656482246078,0.44984615384615384,0.34769029154328546
0.2943702879742924,0.317280750137893,0.2708494208494208,-0.0881522338665196,-0.11574186431329288,0.37700194272106285,0.5079373951928452,0.374441309255079,0.3299619906690309
0.6736203703703704,0.20028333333333334,0.06862500000000002,-0.5179916666666666,-0.09048333333333332,0.06924629629629629,0.5719766472060049,0.44528495102404275,0.33504731964600953
0.6408662900188323,0.13302088392423506,0.11465274405050994,-0.25389509470616806,-0.28855755220981055,0.08612038856144946,0.5489082969432314,0.47641463414634144,0.3357229709869093
0.6280611270296084,0.16167423382519866,0.14228717366628832,-0.22329738933030643,-0.26345629965947787,0.10209103557940767,0.4154913294797688,0.42716272189349114,0.3054216287215404
0.2961672473867596,0.3015082130413141,0.30424091587854657,-0.07105027376804382,-0.08638377302140367,0.3890390465129141,0.4957690393230463,0.3289995022399204,0.3244107211990487
0.4386286490156144,0.18544000000000002,0.22143,-0.059779999999999986,-0.22508999999999998,0.1944744121715076,0.4642268041237113,0.4017778936392075,0.3059215517900082
0.14025711662075296,0.4761714096624752,0.13160820648577098,-0.008074123097286594,-0.03411317008603573,0.09741231460012513,0.5035785619174433,0.3650133155792277,0.249531877891756
0.646578947368421,0.17577631578947364,0.10032894736842106,-0.28453289473684207,-0.29536842105263156,0.09172295321637428,0.5530263157894736,0.466046052631579,0.3362850511695906
0.5286445607911575,0.27655948553054666,0.29312874251497006,-0.3232392026578073,-0.2902602230483271,0.1366417378917379,0.49218258132214054,0.32062704471101416,0.29342862506017914
