country,Q179,Q181,Q180,Q191,Q189,score
TUN,0.0453736030294633,0.0606927126627874,0.071630615640599,0.0340995850622406,0.0603229974160206,0.0544239027622222
TUR,0.0522444074690331,0.0534993507698015,0.0534214799350498,0.0668473728106755,0.0518024897033643,0.0555630201375848
TWN,0.0362369401290088,0.0471954210956663,0.0581902425729081,0.0438430089942763,0.0379921867902243,0.0446915599164168
UKR,0.0817500661900979,0.1205348460291734,0.1624277456647398,0.076859437751004,0.0639268183846497,0.1010997828039329
URY,0.0659184361307718,0.0488615664845173,0.0807053238385893,0.0548686868686868,0.0253891680625348,0.05514863627702
USA,0.076327016268605,0.063410289667099,0.0863357525488163,0.0984306853582554,0.0267055771725032,0.0702418642030558
UZB,0.0849249249249249,0.0878880685443441,0.1776775956284153,0.0727011494252873,0.0924892191944215,0.1031361915434786
VEN,0.0769281045751634,0.0914808590102707,0.0944444444444444,0.0962941176470588,0.0708347338935574,0.0859964519140989
VNM,0.1279055555555555,0.1560166666666666,0.1425277777777777,0.143325,0.1161074074074074,0.1371764814814814
ZWE,0.0581411312465678,0.0752462017206663,0.0665112025605852,0.0517065127782357,0.0582233223322332,0.0619656741276576
