country,Q3,Q5,Q40,Q41,Q43,Q131,Q142,Q150,Q46,Q49,Q22,Q182,Q209,Q218,Q57,Q58,Q59,Q60,Q61,Q62,Q63,score
AND,1.4213147410358566,1.5259481037924152,2.7377377377377377,3.153,1.8021978021978025,1.2871385842472582,2.4491017964071857,1.634,1.7101593625498008,7.537924151696607,1.948207171314741,8.025025025025025,1.645,2.038038038038038,1.7442557442557445,1.1842629482071714,2.2791625124626123,1.7337986041874376,2.941941941941942,2.474216380182002,2.409090909090909,0.607675418483081
ARG,1.8098098098098097,1.468405215646941,2.620795107033639,2.619959677419355,2.443866943866944,2.4265734265734267,2.522935779816514,1.6352705410821644,1.8118006103763988,7.701894317048853,1.9282153539381852,6.023411371237458,2.09853249475891,2.3618843683083512,1.7930672268907564,1.1408591408591409,2.0161616161616163,1.943605236656596,2.8732106339468304,2.343283582089552,2.382978723404255,0.549583865652481
ARM,1.9031456953642385,1.3442622950819672,2.826875515251442,2.1611570247933884,2.388333333333333,2.4036243822075782,2.0594549958711807,1.821963394342762,1.686727122835944,6.60655737704918,1.1657000828500417,1.372937293729373,2.495704467353952,2.7303877366997296,1.9189189189189189,1.0790123456790124,2.1985049833887045,2.009068425391591,3.139917695473251,3.2118863049095605,2.9598976109215016,0.5245560872974959
AUS,1.646355353075171,1.9953917050691243,2.4754550468836185,3.456413103831205,1.8381766381766385,2.008337965536409,2.752906976744186,1.4357224118316267,1.7828254847645428,7.527545909849749,1.895752895752896,7.387720295622513,1.2185761957730812,1.7852348993288591,1.4598214285714286,1.2408435072142063,2.0708310094813163,1.5935412026726057,2.515625,2.173544375353307,2.145915492957746,0.6175798763786782
BGD,2.1917577796467618,1.2225941422594142,1.4704890387858347,1.7308016877637131,2.8052057094878253,1.851542952460384,2.3671742808798646,1.7252931323283085,1.835,7.604166666666667,1.2013769363166953,1.6875,2.4632558139534884,2.582294264339152,1.8707256046705587,1.0158465387823186,1.8006672226855711,2.181281618887015,3.122909698996656,2.8958509737510583,3.177855274629468,0.5484213511113863
BOL,1.78852698104035,1.2520561199806484,1.954523227383863,2.205265724037055,2.3665180782565627,2.297192642787996,1.9770955165692008,1.8410206084396468,1.911208151382824,7.473760932944606,1.71,3.301595744680851,2.365548322483725,2.75,1.914020517830972,1.64811229428848,2.8526417838099856,2.5342732134175985,3.499272903538536,2.9690721649484537,3.3184713375796178,0.4950040434975878
BRA,1.827625570776256,1.4397042093287826,2.615296147211041,2.826285714285714,2.060410557184751,2.746389370306181,1.948006932409012,1.7511792452830188,1.82865329512894,7.563283922462942,1.931895573212259,4.946879150066401,1.7263411693791442,2.329088471849866,1.9335260115606936,1.5450913242009132,2.53047011027278,2.3810344827586207,3.200694042799306,2.529338327091136,2.9070072036673213,0.5241539541252517
CAN,1.536087605774017,1.9942757590841211,2.5151816824290694,3.513190642110503,1.758337481333997,2.056495769039323,2.8056246888999503,1.524888003982081,1.9462419113987055,7.0415629666500745,1.902439024390244,7.7491289198606275,1.339223494275759,1.545047287207566,1.5049776007964162,1.4196117471378795,2.056495769039323,1.6291687406669986,2.5512692882030863,2.106271777003484,2.07391737182678,0.618338508457971
CHL,1.427710843373494,1.674089068825911,2.311740890688259,2.568667344862665,1.590374331550802,2.630831643002028,1.8238396624472573,1.6465067778936393,1.8859470468431767,7.18970736629667,1.762,5.317256162915327,2.311111111111111,2.5147679324894514,1.8572895277207395,1.3623623623623624,2.2585513078470827,2.3524672708962737,3.0322255790533736,2.736080178173719,2.754555198285102,0.5454067702606773
CHN,2.077964981830195,1.7237495859556144,2.0085723705901746,2.108393919365499,2.345033112582781,1.8334981866139135,2.2762284196547147,1.933575677461996,1.8507413509060957,7.416666666666667,1.2816572001336453,2.31801652892562,2.4069034185197475,2.665448504983389,1.3456297773346626,1.153617443012884,2.008261731658956,1.984793388429752,3.0493050959629384,3.0163442294863243,3.0724057390724058,0.5751806572645355
COL,1.5921052631578947,1.3177631578947369,2.163815789473684,2.647368421052632,2.379605263157895,2.1,1.9684210526315788,1.674342105263158,1.5460526315789471,8.1875,1.7190789473684212,4.061842105263158,2.0657894736842106,2.5078796561604584,1.9546052631578947,1.4539473684210529,2.647368421052632,2.456578947368421,3.300657894736842,2.9125,3.0789473684210527,0.5239012571423785
CYP,1.8218623481781375,1.6402439024390243,2.0754332313965342,2.436548223350254,2.2596858638743456,2.158536585365854,2.715351812366738,1.6131687242798354,1.8914572864321608,6.6656626506024095,1.54932502596054,3.725,2.0371900826446283,2.359956236323851,1.9197916666666663,1.1306532663316582,2.0693877551020408,2.0141987829614605,3.2464212678936604,2.890086206896552,2.9031216361679224,0.5298172766618913
CZE,1.667779632721202,1.9148397976391232,2.628140703517588,2.879598662207358,2.016101694915254,2.242272347535505,2.9170194750211684,1.6362869198312235,2.023489932885906,7.065,1.8177128116938952,6.676295666949873,2.0455696202531644,2.284982935153584,1.6272040302267003,1.401002506265664,2.1084236864053376,1.8447412353923205,2.756485355648536,2.5956140350877197,2.6556122448979598,0.5509493540757358
DEU,1.7066929133858268,1.7994634473507714,2.24635761589404,3.33596837944664,1.938388625592417,1.8695937090432504,3.263083451202263,1.5528455284552845,1.84155161078238,7.737360472751149,1.9356533158240317,7.855989232839838,1.4193121693121693,2.1127717391304346,1.540485829959514,1.168745896257387,2.058432934926959,1.7906208718626155,2.8054054054054056,2.3949704142011834,2.3680404916847437,0.5920981154426146
