country,Q143,Q146,Q147,Q148
Andorra,-0.01664726933821824,0.06939489717721321,-0.0012880847559769593,0.11071548507891815
Argentina,0.008621209380840404,0.05550169852339076,0.049386319387257537,0.06102514213459687
Armenia,-0.0779274975878475,-0.2469948861701439,-0.1785166235578862,-0.18021706617120384
Australia,0.03600045763877689,0.0240608039801227,-0.037095238186605664,0.1723280839997858
Bangladesh,-0.08631814969169653,-0.04901183312341589,-0.05042515924531965,-0.06004745540828014
Bolivia (Plurinational State of),-0.0764203952293777,-0.101954597011896,-0.08491063473881343,-0.10579659902640202
Brazil,-0.0914049430077888,-0.05114557474839621,-0.014340098901369806,-0.05740711848269186
Canada,0.06132484005252423,0.09848009273275983,0.07070131715413516,0.13357645463683757
Chile,-0.07345406864749193,-0.08357163207377945,-0.07146084891284933,-0.06739428387857722
China,-0.06634021379164518,-0.039619882542356606,-0.051576695333854526,
Colombia,-0.09272605184443079,-0.10586603966962081,-0.09356725146198831,-0.11975945017182128
Cyprus,0.014808315663766431,-0.0859579866140316,-0.04032830649512933,0.03715763447916926
Czechia,0.0795150820924017,-0.04244771613664489,0.03279354243047659,0.0865466024587495
Germany,0.08120689234968682,0.026888527159823927,-0.034883904828393326,0.13959405801629024
Ecuador,-0.08927071401298207,-0.10271769081397998,-0.11169349084583907,-0.10074001958704935
Egypt,-0.08713893374184023,,,
Ethiopia,-0.1339468421767915,-0.21332376590444904,-0.21322312812104607,-0.24182693519522092
United Kingdom,0.037418862161130224,-0.03967905394913946,-0.005703023886725927,0.11801333450817986
Greece,0.046833930704898434,0.05957628008558791,0.03625069768979595,0.1470540598027909
Guatemala,-0.0720214145176188,-0.02389895461101409,-0.004806990737958921,-0.022618349825880065
"China, Hong Kong SAR",0.003767553245522932,0.09800669594484031,0.04938443847623544,0.09129460873264343
Indonesia,-0.12700934029616248,-0.20070907649453,-0.21227471064031286,-0.20021935549017145
India,-0.04420148270096159,-0.11746888381497113,-0.11809372634114905,-0.10202425388031598
Iran (Islamic Republic of),0.015009237189979827,0.06749017058295413,0.0441494961299628,0.15950204240420152
Iraq,-0.07762015253424188,-0.16069191688652712,-0.16473391641477703,-0.13884468430237473
Jordan,-0.05297379614090237,-0.11217230401452725,-0.12412509050787852,-0.06689001040034123
Japan,-0.03424466830733123,-0.14059438880830052,-0.1456649861166307,-0.014853551542453878
Kazakhstan,-0.05658723267948514,-0.10987520347259903,-0.12004355261679268,
Kenya,-0.10413570632611896,-0.1253725076783359,-0.1507405557420706,-0.12207756924251771
Kyrgyzstan,-0.10251764540960107,-0.19440243080304973,-0.20874832547032443,-0.21769050162557144
Republic of Korea,-0.02817685403699564,-0.026718558081121727,0.028043445258698018,0.0771801984570585
Lebanon,-0.0409736540664376,-0.07422680412371131,-0.07850324551355478,-0.06324551355479187
Libya,-0.10181869335423323,-0.16775858358640908,-0.17688986605343823,-0.19315084725678397
"China, Macao SAR",0.036976035389992584,0.10334033221036239,0.12602479537849073,0.1300841833487882
Morocco,-0.01627720504009164,-0.05498281786941578,-0.03940435280641464,0.021447117220313113
Maldives,-0.11064975479137762,-0.08654702812778416,-0.1637253777810208,-0.15211677974564575
Mexico,-0.1318331986105636,-0.19808358479119612,-0.19123312828072647,-0.19504999007518456
Myanmar,-0.1542592592592593,-0.23001145475372278,-0.25139366170294003,-0.25720885834287893
Mongolia,-0.034266357290412254,0.07608529945299702,0.09152613963610529,0.0864742995327188
Malaysia,-0.10075733981011108,-0.126255290080951,-0.15389326402901987,-0.1327024058472461
Nigeria,-0.1222455200264042,-0.17171009464073225,-0.19056544829740707,-0.17406952190106176
Nicaragua,-0.08129247804505536,-0.12218403970981294,-0.07499045437189768,-0.10441771668575794
Northern Ireland,0.029670511915643644,0.007207485488500197,0.03591220086065449,0.07510039217528124
Netherlands,0.08283617998867299,0.12013522197077638,0.0632274551993789,0.16034917009527083
New Zealand,0.07774444118598062,0.11840039497559668,0.039822720235091355,0.17816083958243487
Pakistan,-0.10818022999097698,-0.18164548963976634,-0.187094310805651,-0.1809126769251259
Peru,-0.10664375715922109,-0.16371435979742482,-0.16755352609882992,-0.15302426986275783
