country,Q3,Q5,Q40,Q41,Q43,Q131,Q142,Q150,Q46,Q49,Q22,Q182,Q209,Q218,Q57,Q58,Q59,Q60,Q61,Q62,Q63
Andorra,0.42428286852589636,-0.3831270791749833,-0.07736736736736739,0.045135,-0.11670329670329667,0.47705882352941176,-0.02001996007984028,-0.15811999999999987,0.31067065073041167,0.26719449988911065,0.5199203187250996,0.3254476698921143,0.1917,-0.02054054054054044,-0.21494505494505495,0.38594953519256303,0.06477899634430041,0.22475240943835165,-0.12963630296963638,0.0075631951466127246,0.026666666666666644
Argentina,0.2714748081414748,-0.4057606151788699,-0.11186544342507647,-0.11211189516129028,0.261881496881497,0.028881118881118842,0.009021406727828822,-0.159619238476954,0.27069175991861644,0.28869281045751627,0.49672981056829507,0.06746191007060569,-0.05320754716981135,-0.1954175588865097,-0.2578991596638656,0.3986813186813187,0.1419259259259259,0.1632091305807318,-0.10947511929107025,0.04597014925373138,0.03432624113475181
Armenia,0.23476269315673284,-0.45459016393442625,-0.051071723000824416,-0.2474586776859504,0.22911666666666658,0.037907742998352555,-0.17328103495733557,-0.37991680532445915,0.3198873316845287,0.14508196721311467,-0.3877879038939519,-0.5319325265859919,-0.26768041237113405,-0.394409377817854,-0.3686486486486486,0.4168230452674897,0.08843853820598002,0.14400659521846668,-0.18770919067215364,-0.2088199827734711,-0.13490329920364047
Australia,0.33576689445709945,-0.1984792626728111,-0.15474076116933252,0.13464186563020544,-0.09547578347578344,0.19338706688901242,0.09947674418604642,0.07584755403868045,0.2820886426592798,0.2658337970691893,0.459073359073359,0.24330617143579053,0.42196885428253617,0.11597315436241606,0.03535714285714283,0.36935257121716614,0.12588957055214722,0.265894580549369,-0.004583333333333333,0.09576031656303001,0.10386478873239431
Bangladesh,0.12124194000560702,-0.5024463040446304,-0.4512057335581787,-0.3744135021097046,0.4750713685978169,0.25505977203224905,-0.052244782853919924,-0.2658458961474037,0.26156666666666667,0.2758796296296297,-0.3464027538726334,-0.4913888888888888,-0.25015813953488375,-0.31443890274314207,-0.3262385321100917,0.43535168195718654,0.2051376146788991,0.09349072512647554,-0.18272017837235233,-0.11611628563364375,-0.198837547224644
Bolivia (Plurinational State of),0.27984605412412894,-0.4908579261409449,-0.30841564792176035,-0.23444661140906875,0.21624566617137198,0.07977089383672155,-0.20567576348278102,-0.4024043179587832,0.23159146045608928,0.2587819889860706,0.24359999999999996,-0.2833498817966903,-0.1973960941412118,-0.405,-0.3643380556912555,0.24988706034204586,-0.10344158991759576,-0.010053475935828888,-0.29312005170463723,-0.1375945017182131,-0.24008492569002124
Brazil,0.26446727549467275,-0.4170496776640122,-0.11348763657274291,-0.051245714285714346,0.035642228739003,-0.09691315232043136,-0.21711727325245522,-0.2963915094339622,0.26406303724928365,0.2705194476118079,0.50099886492622,-0.0712911317692194,0.14777576853526217,-0.1777077747989276,-0.3815028901734104,0.28010654490106546,-0.008937899013348806,0.03489655172413792,-0.2055369192211297,-0.008605909280066572,-0.11938877974241426
Canada,0.37913887506222,-0.19891820142691227,-0.14302140368342453,0.15139123942259833,-0.1425808860129418,0.17444499751119968,0.12021237763398045,-0.029367844698855207,0.2178115148498424,0.202116033405232,0.4668292682926828,0.28988772744870306,0.35681931309109016,0.24567446490791436,-0.00438028870084624,0.316913887506222,0.13009457441513197,0.2554438360710138,-0.015038991206238646,0.11549361207897796,0.12498423759747805
Chile,0.42176706827309235,-0.3248582995951417,-0.20303643724696357,-0.12724313326551379,-0.24167914438502675,-0.051460446247464424,-0.26595639943741206,-0.17287799791449437,0.24152749490835032,0.22153941024778556,0.30391999999999997,-0.02355365011313563,-0.1679999999999999,-0.27797468354430377,-0.3144147843942506,0.333707040373707,0.07082494969818907,0.04327626720375971,-0.1561195031889896,-0.06925018559762429,-0.07466952483029658
China,0.16600044048012327,-0.3053251628574583,-0.29247115067589846,-0.26302379378717783,0.20356953642384093,0.26215737993186056,-0.08801682160247888,-0.5116192994051554,0.25537506864360243,0.2512962962962963,-0.2532776478449715,-0.41012231404958677,-0.2197278460006637,-0.35934219269103,0.13584579594549692,0.39493888338288735,0.14424322538003967,0.1511272727272727,-0.16112949481579528,-0.15146097398265512,-0.16790568346123902
