country,Q148,Q147,Q146,Q143,score
KOR,0.2977028112449799,0.3591967871485944,0.4388755020080321,0.2859973226238286,0.3454431057563588
LBN,0.5020222222222221,0.5142222222222224,0.508,0.3046166666666666,0.4572152777777778
LBY,0.6910344827586207,0.6573747551077527,0.6440887391182253,0.3931461988304093,0.596411043953752
MAC,0.2207275132275132,0.2166339227242959,0.2496398166339228,0.1911998685075608,0.2195502802733231
MAR,0.3787944444444444,0.4573333333333333,0.48,0.2686833333333333,0.3962027777777778
MDV,0.6313299145299145,0.6382204246713853,0.525925925925926,0.4059953932214544,0.55036791458717
MEX,0.6937977355593935,0.678244201648457,0.6882116158711904,0.43681730397837,0.6242677142643527
MMR,0.7842388888888888,0.7657777777777778,0.7346666666666667,0.4694472222222222,0.6885326388888888
MNG,0.2841798941798942,0.2668294668294668,0.2892958892958893,0.2948575498575498,0.2837907000407
MYS,0.6030820005077431,0.623914699162224,0.5837014470677837,0.3916019294237116,0.5505750190403655
NGA,0.6632711543660448,0.6772727272727272,0.6498381877022654,0.4228672316384181,0.6033123252448639
NIC,0.5619277777777778,0.5091111111111112,0.5777777777777778,0.3632805555555555,0.5030243055555556
NIR,0.3007289293849657,0.3477477477477477,0.3895131086142323,0.2018294051627385,0.309954797727421
NLD,0.1766919575113808,0.3080040526849038,0.2252032520325203,0.1244733581164808,0.2085931550863214
NZL,0.1507759784075573,0.342057942057942,0.2277274253105068,0.1318818380743982,0.2131107959626011
PAK,0.6732279449260581,0.6722222222222223,0.6642941874258601,0.4024022346368714,0.603036647302753
PER,0.6326503126503126,0.6437903804737976,0.6382043935052532,0.4001666666666666,0.5787029383240075
PHL,0.6673888888888888,0.6766666666666667,0.6597777777777778,0.3983040935672514,0.6005343567251462
PRI,0.6295688373476063,0.6451382694023193,0.6431372549019608,0.3243960457213469,0.5605601018433083
ROU,0.4485816186556926,0.470204081632653,0.4788273615635179,0.2200145687645687,0.4044069076541081
RUS,0.5422059651097355,0.5955803156917363,0.5940003726476617,0.27468,0.5016166633622834
SGP,0.3984919448596578,0.4737348597975777,0.4096849087893864,0.2882015231400117,0.3925283091466583
SRB,0.5016502301117686,0.5147530258423292,0.5092852371409486,0.3071225071225071,0.4582027500543884
SVK,0.3984457728437232,0.3942712721145746,0.4941043083900227,0.1226924285265472,0.352378445468717
THA,0.3418043429594806,0.3420875420875421,0.3517921146953405,0.291240990990991,0.3317312476833385
TJK,0.3835777777777778,0.4111111111111111,0.3908888888888889,0.2543916666666667,0.3599923611111111
TUN,0.6799280177187154,0.6787275242047026,0.6807425879745083,0.4091929824561403,0.6121477780885166
TUR,0.5738970280452071,0.6060606060606061,0.5946833681280446,0.3446731707317073,0.5298285432413913
TWN,0.4941455437448896,0.5296266012537476,0.5533932951757973,0.3157154538021259,0.4732202234941401
UKR,0.6590592051905919,0.6186666666666667,0.6924596983879355,0.31390625,0.5710229550612985
URY,0.594527665317139,0.5767881241565452,0.5947474747474748,0.3796019900497512,0.5364163135677276
USA,0.3364919093851132,0.4915438324282389,0.5346790890269152,0.1862371066718892,0.3872379843780391
UZB,0.5864768104149715,0.5812855980471928,0.5967320261437908,0.3629481963656089,0.531860657742891
VEN,0.5096862745098039,0.4571428571428571,0.497703081232493,0.35,0.4536330532212884
VNM,0.6159920296043268,0.6082980524978832,0.6215454032712917,0.4223805508712759,0.5670540090611944
ZWE,0.7028249519098653,0.6574409665019221,0.6746776406035666,0.4384352617079889,0.6183447051808357
