country,Q73,Q71,Q74,Q72,Q70,score
AND,0.3172431332655137,0.3556358768406962,0.3515181848515181,0.20105476673428,0.3049243188698284,0.3060752561123673
ARG,0.2403576388888889,0.2626937394247039,0.201547987616099,0.1558695652173913,0.1698515519568151,0.2060640966207796
ARM,0.1900591715976331,0.2714374120956399,0.2900086132644272,0.1171803556308213,0.1758654970760234,0.2089102099329089
AUS,0.3045586592178771,0.2917149220489977,0.3385955056179775,0.1851977715877437,0.3252154448796865,0.2890564606704565
BGD,0.5153144654088051,0.5203482167930357,0.4396711509715993,0.2859726962457338,0.3886244725738396,0.4299862003986027
BOL,0.1837440597420231,0.260599214145383,0.1889655172413793,0.1261440470357668,0.1585352773588067,0.1835976231046718
BRA,0.1407914230019493,0.1751046511627907,0.3167922705314009,0.0986160972785176,0.2725122765664899,0.2007633437082296
CAN,0.3589372822299652,0.3485747469719595,0.3707897793263647,0.2258885017421603,0.3187257341961174,0.3245832088933134
CHL,0.2141947565543071,0.2920854526958291,0.2855828220858895,0.1444016227180527,0.2173523421588594,0.2307233992425875
CHN,0.5916412971542026,0.6016319788569541,0.4941040079496522,0.4785188866799204,0.4128325612177365,0.5157457463716931
COL,0.1778092105263157,0.2177807017543859,0.1835964912280702,0.146032894736842,0.1759078947368421,0.1802254385964912
CYP,0.2919379844961239,0.3184712041884816,0.3298429319371728,0.1848356309650053,0.3071064572425828,0.2864388417658733
CZE,0.3138244425627999,0.2838327721661055,0.3621739130434782,0.2043050847457627,0.3196488246955536,0.29675700744274
DEU,0.3523669179803518,0.3395822102425876,0.3898873873873874,0.2292476060191518,0.3710794941282745,0.3364327231515506
ECU,0.2135294117647058,0.268504777965149,0.1531806615776081,0.1451133501259446,0.2485012701100762,0.2057658943086967
EGY,0.1387246963562753,,0.2112582781456953,0.0627366020524515,,0.1375731921848074
ETH,0.3818222222222222,0.4456241426611796,0.3709108716944172,0.2122784810126582,0.3357641196013289,0.3492799674383612
GBR,0.2518124507486209,0.2362211862211862,0.3443170964660935,0.1837293469708891,0.3412538348672802,0.271466783054814
GRC,0.1808185153824443,0.1612418854078464,0.3155480984340045,0.1186028789161727,0.3089734912577552,0.2170369738796446
GTM,0.1612259289395172,0.1677895307838351,0.1497965825874694,0.1242229454841334,0.1604556550040683,0.1526981285598047
HKG,0.3080250528713193,0.3699403898823909,0.3602657591962405,0.220009828009828,0.3911934959349594,0.3298869051789477
IDN,0.3931449321124092,0.5291135531135531,0.4562865497076023,0.2591616577032585,0.3842970877854599,0.4044007560844566
IND,0.5153204301075268,0.4409650180940892,0.4950169635284139,0.2727423312883436,0.3993461692739671,0.4246781824584681
IRN,0.4223031540730655,0.3490441011864786,0.4197812011609734,0.272451923076923,0.3897849462365591,0.3706730651468
IRQ,0.1233887915936953,0.1789876330169686,0.252760555063478,0.0934756097560976,0.2573895582329317,0.1812004295326343
JOR,0.1106165191740413,0.2934441186054089,0.2951284322409211,0.0883731019522776,0.4341317365269461,0.244338781699919
JPN,0.3177071290944124,0.3351729686242961,0.3346091205211726,0.2471105527638191,0.3940422077922077,0.3257283957591815
KAZ,0.4669677419354839,0.4650694444444445,0.423615548455804,0.3531048387096774,0.3420750199521149,0.4101665186995049
KEN,0.3192784060312332,0.3529474812433012,0.3483064516129032,0.1951342554922701,0.2993648251934881,0.3030062839146391
KGZ,0.3027124463519313,0.3648654772019258,0.3706349206349206,0.2366350301984469,0.2402621082621083,0.3030219965298666
KOR,0.2463587684069611,0.3643534136546184,0.3639625167336011,0.2302409638554216,0.3138366800535475,0.30375046854083
LBN,0.2106868516961032,0.2242801120448179,0.1797003109980209,0.1595294117647058,0.2464147774979009,0.2041222928003097
LBY,0.1344660766961652,0.2666841186736474,0.2872265966754155,0.0681767441860465,0.3153511034680424,0.2143809279398634
MAC,0.4293793103448275,0.4384645669291339,0.3992439184746876,0.3415361744301288,0.3641904761904762,0.3945628892738508
MAR,0.2463999999999999,0.24235,0.2836944444444444,0.1897,0.2531055555555556,0.24305
MDV,0.1591731266149871,0.2552629880606647,0.3258971871968962,0.1128571428571428,0.2489983896940418,0.2204377668847465
MEX,0.1610135658914729,0.1673302646720368,0.1483598507169515,0.1064482758620689,0.1600038827412153,0.1486311679767491
MMR,0.4932277777777777,0.5184111111111112,0.4528611111111111,0.368375,0.3056277777777778,0.4277005555555555
MNG,0.2861147327249022,0.3217049319727891,0.3102547495682211,0.2068615984405457,0.2583915343915344,0.2766655094195985
MYS,0.3490744978387999,0.36567581300813,0.3904907195525044,0.2463615560640732,0.3415752032520325,0.338635557943108
NGA,0.3010573770491803,0.3226872127602054,0.3411572942135289,0.2321770917952884,0.2661492374727669,0.292645642658194
NIC,0.2089694444444444,0.2624944444444444,0.1847222222222221,0.148575,0.1889833333333333,0.1987488888888889
NIR,0.2034624145785876,0.2063030303030303,0.3575968992248062,0.1560681818181818,0.3334887334887335,0.2513838518826679
NLD,0.3012984496124032,0.2785504342017368,0.286380498145204,0.1999949315762798,0.3376279147793994,0.2807704456630047
NZL,0.3623529411764706,0.3826979272850833,0.3623849964614296,0.2305458290422245,0.3650780990362246,0.3406119586002865
PAK,0.3818733850129199,0.4216147164026572,0.3687617969044923,0.2594375,0.333858024691358,0.3531090846022854
PER,0.076256038647343,0.1362828867970069,0.1101428225611232,0.0728787878787878,0.1029710144927536,0.0997063100754029
PHL,0.4649944444444445,0.5221111111111111,0.4547956630525437,0.350875,0.3976222222222222,0.4380796881660643
PRI,0.1683255813953488,0.1710931416591794,0.1775547445255474,0.1050946798917944,0.2344384384384384,0.1713013171820617
ROU,0.1658657829328914,0.2061753210496929,0.2285084091535704,0.1178304239401496,0.240738801628854,0.1918237477410317
RUS,0.3267967781908303,0.3755835721107928,0.3739156268568032,0.2380915576694411,0.2702582159624413,0.3169291501580617
SGP,0.472,0.4955656108597285,0.45121412803532,0.3305331939362259,0.3923034953111678,0.4283232856284885
SRB,0.1951736111111111,0.2332855680655066,0.213423517169615,0.1276004119464469,0.2060397708122683,0.1951045758209895
SVK,0.2139252336448598,0.2072916666666667,0.3411781365052393,0.1657894736842105,0.2328527000282725,0.2322074421058498
THA,0.403580895223806,0.3940562833575934,0.3972465886939571,0.2825964391691395,0.3703800532558702,0.3695720519400732
TJK,0.5844906997342781,0.5996154933559514,0.495754290876242,0.3930275229357798,0.4195636998254798,0.4984903413455462
TUN,0.1250761421319797,0.1468749999999999,0.2267745599091425,0.091620253164557,0.2805650684931506,0.1741822047397659
TUR,0.4191056218057922,0.4596969696969697,0.3918051413151541,0.3141977928692699,0.3726605248464544,0.3914932101067281
TWN,0.2805276381909548,0.3584888888888889,0.387534549474848,0.2085976627712855,0.297286432160804,0.3064870342973562
UKR,0.1941830601092895,0.2062732058742034,0.2704722222222223,0.1622489626556017,0.1621879463010568,0.1990730794324747
URY,0.3377765995051254,0.3706273312987453,0.3521604938271604,0.2182268041237113,0.3277651122625216,0.3213112682034528
USA,0.2322888283378746,0.2655085950626858,0.3168103448275862,0.1796149358226371,0.3118036618620958,0.2612052731825759
UZB,0.5243727598566308,0.563666395884105,0.4891862665585293,0.3888632619439868,0.4155247417074497,0.4763226851901404
VEN,0.1695294117647058,0.1703865546218487,0.1756862745098039,0.1318235294117647,0.1454061624649859,0.1585663865546218
VNM,0.5824698795180723,0.5666213921901528,0.462044214757393,0.4624260355029586,0.4254978723404255,0.4998118788618004
ZWE,0.3340503875968992,0.3624448123620308,0.3509689922480621,0.2129874476987448,0.2914451827242524,0.3103793645259979
