country,Q73,Q71,Q74,Q72,Q70
Bangladesh,-0.3384791309319611,-0.4063465318730694,-0.256203288490284,0.09215017064846413,-0.34008438818565406
Bolivia,0.5227427019687712,0.2956777996070728,0.46009852216748764,0.5995427078229625,0.4533266297972179
Brazil,0.6343079922027292,0.5267441860465117,0.09487922705314016,0.6869330245126424,0.06030249459831083
Canada,0.06769537083125925,0.05790608926497439,-0.05939936950389916,0.2828936452629831,-0.09905425584868095
Chile,0.4436499829758258,0.21057985757884032,0.18404907975460136,0.5415821501014199,0.25050916496945
China,-0.5367306419589676,-0.6260323752890651,-0.4117257369990062,-0.5191075767616523,-0.42356055592322966
Colombia,0.5381578947368423,0.4114035087719297,0.47543859649122816,0.5364035087719298,0.39342105263157884
Cyprus,0.24171952078928824,0.1392670157068062,0.05759162303664933,0.4132202191587133,-0.05898778359511336
Czechia,0.1848715777589612,0.23288439955106632,-0.03478260869565227,0.35141242937853107,-0.10223732653639199
Germany,0.0847612519990862,0.08221024258760116,-0.11396396396396409,0.2722298221614228,-0.27958446251129193
Ecuador,0.4453781512605041,0.2743114109050027,0.5623409669211196,0.5393226980128745,0.14309906858594404
Egypt,0.6396761133603238,,0.39640491958372753,0.8008361839604712,
Ethiopia,0.008253968253968106,-0.20438957475994504,-0.059745347698335095,0.3261000602772756,-0.15780730897009962
United Kingdom,0.3459416863672183,0.3615643615643617,0.01623686723973261,0.4167322318384474,-0.17673736161131112
Greece,0.5303415184871577,0.564211120519334,0.09843400447427293,0.6234829240756422,-0.0654258319232938
Guatemala,0.5812313534038515,0.5465147816653104,0.5720097640358016,0.6056414429075128,0.4467046379170056
Hong Kong,0.19993492760696263,0.00016110842597072406,-0.029330740560687,0.30155610155610163,-0.3489430894308943
Indonesia,-0.02115566782443956,-0.43003663003663,-0.30367585630743515,0.17726457871981438,-0.3251623716739995
India,-0.33849462365591404,-0.19179734620024114,-0.4143341815097541,0.1341513292433539,-0.37705575611712794
Iran,-0.09689130928068994,0.05663756436086853,-0.19937486045992406,0.13507326007326004,-0.3440860215053763
Iraq,0.6795096322241682,0.5162496404946794,0.27782698553292,0.7032520325203251,0.11244979919678706
Jordan,0.712684365781711,0.20690778755294895,0.15677590788308246,0.7194504699927693,-0.4970059880239521
Japan,0.17478667767685105,0.0941271118262268,0.04397394136807827,0.21552205471803454,-0.3587662337662338
Kazakhstan,-0.2129032258064516,-0.25694444444444436,-0.2103301384451545,-0.12096774193548399,-0.1795690343176378
Kenya,0.17070543887991393,0.04608788853161835,0.004838709677419395,0.3805261730404122,-0.03229250066720043
Kyrgyzstan,0.2137339055793991,0.01387708864344391,-0.05895691609977316,0.24877768190969216,0.1715099715099715
"Korea, South",0.3601070950468541,0.01526104417670678,-0.03989290495314594,0.2690763052208836,-0.0821954484605086
Lebanon,0.4527614241659658,0.3938375350140057,0.48657054000565453,0.4935574229691877,0.1502938706968934
Libya,0.6507374631268436,0.2792321116928447,0.17935258092738415,0.7835658914728683,-0.08741759816566337
Macau,-0.11527093596059117,-0.18503937007874013,-0.14069690992767914,-0.08424182358771048,-0.25582922824302123
Morocco,0.36000000000000004,0.34500000000000003,0.18944444444444444,0.3977777777777778,0.12722222222222226
Maldives,0.5865633074935399,0.31010003226847377,0.06886517943743946,0.6417233560090704,0.14138486312399343
Mexico,0.5817829457364342,0.5477560414269277,0.5761147122372815,0.6620689655172415,0.44826247330615426
Myanmar,-0.28111111111111126,-0.40111111111111103,-0.2938888888888889,-0.1694444444444446,-0.05388888888888902
Mongolia,0.256844850065189,0.13052721088435368,0.11355785837651133,0.34329651288715607,0.10899470899470891
Malaysia,0.09331299262649366,0.011686991869918728,-0.11568777015001282,0.21789982201881516,-0.17784552845528445
Nigeria,0.21803278688524586,0.1278723979453907,0.025264873675631645,0.26292986731654483,0.08224400871459696
Nicaragua,0.45722222222222236,0.2905555555555557,0.4722222222222223,0.5283333333333333,0.34833333333333333
Northern Ireland,0.4715261958997721,0.4424242424242424,-0.021705426356589008,0.5045454545454545,-0.1499611499611501
Netherlands,0.21740662438336855,0.2471609886439546,0.18177000529941711,0.36509545531339754,-0.16423418889448094
New Zealand,0.058823529411764795,-0.03431872239211694,-0.03538570417551323,0.2681084792310333,-0.25888999667663687
Pakistan,0.008121077888519679,-0.13949923352069504,-0.05360513401283503,0.17638888888888893,-0.15123456790123443
Peru,0.8019323671497585,0.6316678735216028,0.6853062212539337,0.7686387686387685,0.6449275362318841
Philippines,-0.2077777777777777,-0.41111111111111115,-0.2994161801501252,-0.11388888888888893,-0.3711111111111111
Puerto Rico,0.5627906976744187,0.5375861036238394,0.49270072992700725,0.6663660955816052,0.19159159159159156
Romania,0.5691797845898924,0.4427694025683975,0.3471188309897988,0.6259351620947632,0.1698662012798137
Russia,0.15117719950433717,-0.01509073543457499,-0.06833036244800954,0.2441537851763774,0.068075117370892
Singapore,-0.22597402597402608,-0.33936651583710403,-0.2891832229580575,-0.04931172678166925,-0.3527706734867861
Serbia,0.49305555555555564,0.3694984646878199,0.3902185223725286,0.5949193271541366,0.2895180316818336
Slovakia,0.4443500424808837,0.43975225225225234,0.02520532427074477,0.47368421052631593,0.19705965507492232
Thailand,-0.04826206551637924,-0.06501698204754962,-0.13499025341130602,0.10286844708209693,-0.2771725974340355
Tajikistan,-0.5181576616474756,-0.6205824144755443,-0.4164408310749774,-0.24770642201834855,-0.4467713787085515
Tunisia,0.6751269035532994,0.6030405405405407,0.3520726859738786,0.7091420534458509,0.03253424657534243
Turkey,-0.08858603066439515,-0.24242424242424251,-0.11944326090044033,0.002546689303904929,-0.2850362925739809
Taiwan,0.2713567839195979,0.03111111111111124,-0.10724156992813712,0.3377851975514747,-0.025125628140703665
Ukraine,0.4956284153005465,0.44250484898863957,0.22722222222222221,0.4849239280774551,0.4407312196515282
Uruguay,0.12265818310357031,-0.0016954899966089936,-0.006172839506172719,0.3072164948453609,-0.13022452504317794
United States,0.39665239392759827,0.2824092025332818,0.0948275862068965,0.4297938545313107,-0.07518504090377871
Uzbekistan,-0.36200716845878134,-0.5234226915786624,-0.39767504731008385,-0.23448654585392634,-0.4328439369222403
Venezuela,0.5596638655462186,0.5394957983193276,0.4980392156862745,0.5815126050420169,0.49859943977591037
Vietnam,-0.5129087779690189,-0.5314091680814941,-0.320126327878266,-0.46801916032685265,-0.4672340425531914
