country,Q3,Q5,Q40,Q41,Q43,Q131,Q142,Q150,Q46,Q49,Q22,Q182,Q209,Q218,Q57,Q58,Q59,Q60,Q61,Q62,Q63,score
CYP,0.7260458839406208,0.7865853658536586,0.7311416921508664,0.6408629441624365,0.3701570680628272,0.6138211382113821,0.4282160625444207,0.6131687242798354,0.7028475711892798,0.6295180722891566,0.45067497403946,0.3027777777777777,0.4814049586776859,0.3200218818380744,0.0802083333333333,0.9564489112227804,0.6435374149659865,0.6619337390128466,0.2511929107021131,0.3699712643678161,0.3656261212773593,0.5298172766618913
CZE,0.7774067890929327,0.695053400786959,0.592964824120603,0.5301003344481605,0.4919491525423729,0.5859092174881648,0.3609935083262772,0.6362869198312237,0.6588366890380313,0.6738888888888889,0.1822871883061049,0.6306995185499858,0.4772151898734177,0.3575085324232082,0.3727959697732997,0.8663324979114453,0.6305254378648875,0.7184195882025599,0.4145048814504881,0.4681286549707603,0.4481292517006803,0.5509493540757358
DEU,0.7644356955380578,0.7335121842164096,0.6884105960264901,0.4160079051383399,0.5308056872037914,0.7101354303189166,0.2456388495992455,0.5528455284552846,0.7194827964058734,0.748595608083461,0.0643466841759684,0.7617765814266487,0.7903439153439153,0.4436141304347826,0.4595141700404858,0.9437513679142044,0.6471890216910138,0.7364597093791281,0.3981981981981982,0.5350098619329389,0.5439865027717523,0.5920981154426146
ECU,0.7764738753841856,0.922584238373712,0.78610183639399,0.7007956448911223,0.4259882253994953,0.6346688925987758,0.753013737033922,0.7644593461860855,0.8327683615819209,0.7539417547764793,0.3149999999999999,0.3005116323969495,0.3106960950764007,0.1531569965870307,0.0586236193712829,0.8107957707289928,0.4151363383416806,0.4476905954368392,0.1573377889167363,0.2855133614627285,0.245213963963964,0.5166891464239187
EGY,0.5351836276983459,0.8536789297658862,0.897451963241437,0.875737152485257,0.0794192997438086,0.8194444444444444,0.6408677807094694,0.8727885425442291,0.5754795663052543,0.5408892601875058,0.84,,0.0862660944206008,,0.073517126148705,0.9755555555555556,0.7300528217959411,0.7800945232137892,0.3011744966442953,0.4881355932203389,0.2835689045936396,0.5356812229865954
ETH,0.7145187601957586,0.967479674796748,0.8939024390243903,0.8995117982099268,0.2187758478081058,0.6033686498234176,0.8342826145918091,0.6726384364820847,0.7276422764227642,0.5310550583129916,0.6967213114754098,0.0711953659820958,0.2275021026072329,0.1072056239015817,0.1190864600326264,0.9574525745257452,0.6989422294548413,0.5703401360544218,0.4448069603045134,0.4732678668848882,0.3147208121827411,0.5592579523368616
GBR,0.802321083172147,0.631180691454664,0.6110356865787432,0.3631802392898494,0.6145874071177161,0.6818415637860082,0.3512820512820512,0.4429477020602219,0.7375722543352601,0.701918958279791,0.0406032482598608,0.7598466825270949,0.8503086419753086,0.7192370795734209,0.4670821971172575,0.9225938741509676,0.6770106025342644,0.8245411372096009,0.4864024864024864,0.6597701149425288,0.6663988214811839,0.6196029773109727
GRC,0.7590731434952541,0.8806366047745358,0.6197654941373534,0.660953177257525,0.3567662565905096,0.5261111111111112,0.5719895287958114,0.5439330543933054,0.5950390189520625,0.5757407407407408,0.3352842809364549,0.4183232497839239,0.3799494524010109,0.3057851239669421,0.0841750841750841,0.969140950792327,0.5670850767085077,0.687604690117253,0.2380952380952381,0.310063990692263,0.3064608347627215,0.509141719175235
GTM,0.790886899918633,0.8467588825603471,0.636899918633035,0.5844182262001627,0.4125305126118795,0.5741795497694604,0.7813940873338758,0.7483498349834984,0.8022782750203418,0.722177018352771,0.4060211554109032,0.3033656062701705,0.4249374478732277,0.3154811715481171,0.1798209926769731,0.9022185702547248,0.4816971713810316,0.5952577888061759,0.2776399228012132,0.4440734557595993,0.3751384274640089,0.5526440436014358
HKG,0.7207990977928146,0.6973938223938224,0.6572911636890391,0.583011583011583,0.5099225556631171,0.6513982642237223,0.4697554697554698,0.7490328820116054,0.631578947368421,0.6259509268188149,0.2173493975903614,0.458793588910548,0.4325435203094777,0.391280947255113,0.3949661181026137,0.8972007722007722,0.5686084142394823,0.6631291204373694,0.3738891581838747,0.4896551724137931,0.4839396919042937,0.5555947911560052
