country,Q3,Q5,Q40,Q41,Q43,Q131,Q142,Q150,Q46,Q49,Q22,Q182,Q209,Q218,Q57,Q58,Q59,Q60,Q61,Q62,Q63
Andorra,1.4213147410358566,1.5259481037924152,2.7377377377377377,3.153,1.8021978021978022,1.2871385842472582,2.4491017964071857,1.634,1.7101593625498008,7.537924151696607,1.948207171314741,8.025025025025025,1.645,2.038038038038038,1.7442557442557443,1.1842629482071714,2.2791625124626123,1.7337986041874376,2.941941941941942,2.474216380182002,2.409090909090909
Argentina,1.8098098098098099,1.468405215646941,2.620795107033639,2.619959677419355,2.443866943866944,2.4265734265734267,2.522935779816514,1.6352705410821644,1.8118006103763988,7.701894317048853,1.9282153539381854,6.023411371237458,2.09853249475891,2.3618843683083512,1.7930672268907564,1.1408591408591409,2.0161616161616163,1.9436052366565961,2.8732106339468304,2.343283582089552,2.382978723404255
Armenia,1.9031456953642385,1.3442622950819672,2.8268755152514426,2.1611570247933884,2.388333333333333,2.4036243822075782,2.0594549958711807,1.821963394342762,1.686727122835944,6.60655737704918,1.1657000828500415,1.372937293729373,2.495704467353952,2.7303877366997296,1.9189189189189189,1.0790123456790124,2.1985049833887045,2.009068425391591,3.139917695473251,3.2118863049095605,2.9598976109215016
Australia,1.646355353075171,1.9953917050691243,2.4754550468836185,3.456413103831205,1.8381766381766382,2.008337965536409,2.752906976744186,1.4357224118316267,1.7828254847645428,7.527545909849749,1.8957528957528957,7.387720295622513,1.2185761957730812,1.7852348993288591,1.4598214285714286,1.2408435072142063,2.0708310094813163,1.5935412026726057,2.515625,2.173544375353307,2.1459154929577466
Bangladesh,2.1917577796467618,1.2225941422594142,1.4704890387858347,1.7308016877637131,2.8052057094878253,1.8515429524603837,2.3671742808798646,1.7252931323283083,1.835,7.604166666666667,1.2013769363166953,1.6875,2.4632558139534884,2.582294264339152,1.8707256046705587,1.0158465387823186,1.8006672226855713,2.181281618887015,3.1229096989966556,2.8958509737510583,3.177855274629468
Bolivia,1.7885269810403501,1.2520561199806484,1.954523227383863,2.205265724037055,2.3665180782565627,2.297192642787996,1.9770955165692008,1.8410206084396468,1.9112081513828238,7.473760932944606,1.71,3.301595744680851,2.3655483224837255,2.75,1.9140205178309722,1.64811229428848,2.8526417838099856,2.5342732134175985,3.499272903538536,2.9690721649484537,3.3184713375796178
Brazil,1.8276255707762556,1.4397042093287826,2.615296147211041,2.826285714285714,2.060410557184751,2.7463893703061815,1.9480069324090121,1.7511792452830188,1.8286532951289398,7.563283922462942,1.9318955732122587,4.946879150066401,1.7263411693791442,2.329088471849866,1.9335260115606936,1.5450913242009132,2.53047011027278,2.3810344827586207,3.200694042799306,2.529338327091136,2.9070072036673213
Canada,1.536087605774017,1.9942757590841214,2.5151816824290694,3.513190642110503,1.758337481333997,2.056495769039323,2.8056246888999503,1.5248880039820807,1.9462419113987057,7.0415629666500745,1.9024390243902438,7.7491289198606275,1.339223494275759,1.545047287207566,1.5049776007964162,1.4196117471378795,2.056495769039323,1.6291687406669986,2.5512692882030863,2.1062717770034842,2.0739173718267794
Chile,1.427710843373494,1.674089068825911,2.311740890688259,2.568667344862665,1.590374331550802,2.630831643002028,1.8238396624472575,1.6465067778936393,1.8859470468431772,7.18970736629667,1.762,5.317256162915327,2.311111111111111,2.5147679324894514,1.8572895277207393,1.3623623623623624,2.2585513078470827,2.3524672708962737,3.0322255790533736,2.736080178173719,2.754555198285102
China,2.077964981830195,1.7237495859556144,2.0085723705901746,2.108393919365499,2.3450331125827812,1.8334981866139137,2.2762284196547147,1.933575677461996,1.8507413509060955,7.416666666666667,1.2816572001336453,2.31801652892562,2.4069034185197475,2.665448504983389,1.3456297773346626,1.153617443012884,2.0082617316589557,1.9847933884297522,3.0493050959629384,3.0163442294863243,3.0724057390724058
Colombia,1.5921052631578947,1.3177631578947369,2.1638157894736842,2.6473684210526316,2.379605263157895,2.1,1.9684210526315788,1.674342105263158,1.5460526315789473,8.1875,1.7190789473684212,4.061842105263158,2.0657894736842106,2.5078796561604584,1.9546052631578947,1.4539473684210527,2.6473684210526316,2.456578947368421,3.300657894736842,2.9125,3.0789473684210527
Cyprus,1.8218623481781377,1.6402439024390243,2.0754332313965342,2.436548223350254,2.2596858638743456,2.158536585365854,2.715351812366738,1.6131687242798354,1.8914572864321608,6.6656626506024095,1.54932502596054,3.725,2.0371900826446283,2.359956236323851,1.9197916666666666,1.1306532663316582,2.0693877551020408,2.0141987829614605,3.2464212678936604,2.8900862068965516,2.9031216361679224
Czechia,1.667779632721202,1.9148397976391232,2.628140703517588,2.879598662207358,2.016101694915254,2.2422723475355055,2.9170194750211684,1.6362869198312235,2.023489932885906,7.065,1.8177128116938952,6.676295666949873,2.0455696202531644,2.2849829351535837,1.6272040302267003,1.4010025062656641,2.1084236864053376,1.8447412353923205,2.7564853556485356,2.5956140350877193,2.6556122448979593
Germany,1.7066929133858268,1.7994634473507714,2.24635761589404,3.33596837944664,1.938388625592417,1.8695937090432504,3.263083451202263,1.5528455284552845,1.84155161078238,7.737360472751149,1.9356533158240314,7.855989232839838,1.4193121693121693,2.1127717391304346,1.540485829959514,1.1687458962573867,2.058432934926959,1.7906208718626155,2.8054054054054056,2.3949704142011834,2.3680404916847433
Ecuador,1.6705783738474433,1.232247284878864,1.85559265442404,2.196817420435511,2.1480235492010094,2.0959933222036726,1.7409587888982339,1.7644593461860856,1.5016949152542374,7.785475792988314,1.685,3.7046046915725457,2.3786078098471988,2.6936860068259385,1.941376380628717,1.5676126878130217,2.7545909849749584,2.6569282136894823,3.527986633249791,3.1434599156118144,3.264358108108108
Egypt,2.394449116904962,1.4389632107023411,1.4101921470342522,1.4970513900589721,2.8411614005123824,1.5416666666666667,2.077396657871592,1.8727885425442292,2.273561301084237,5.868003341687552,1.16,,2.8274678111587983,,1.926482873851295,1.0733333333333333,1.8098415346121768,1.6597164303586323,3.096476510067114,2.535593220338983,3.1492932862190814
Ethiopia,1.8564437194127243,1.0975609756097562,1.424390243902439,1.401952807160293,2.5624483043837882,2.1898940505297473,1.4971521562245729,1.6726384364820848,1.8170731707317074,5.779495524816924,1.3032786885245902,1.6407582938388625,2.544995794785534,2.7855887521968365,1.8809135399673735,1.1276422764227643,1.903173311635476,2.2889795918367346,2.66557911908646,2.5801963993453354,3.0558375634517767
United Kingdom,1.593036750483559,2.1064579256360076,2.5558572536850273,3.5472790428406022,1.7708251857645678,1.9544753086419753,2.9461538461538463,1.442947702060222,1.7872832369942198,7.317270624518119,1.9593967517401392,7.838620142743854,1.2993827160493827,1.5615258408531583,1.5329178028827426,1.2322183775470972,1.968968192397207,1.5263765883711975,2.5407925407925407,2.0206896551724136,2.0008035355564484
