country,Q164,Q8,Q14,Q15,Q17,Q184,Q254,Q45
Kenya,-0.11311878662019377,-0.0432261294118412,-0.058097504209492994,-0.016061084781463914,-0.021811349703222634,-0.05138616184166092,-0.07196707818930041,-0.07689876543209875
Kyrgyzstan,-0.1213844701679515,-0.04372085048010972,-0.03096021947873799,0.058782578875171465,-0.07970164609053496,-0.10305520764994733,-0.10057144432726045,-0.055169091332613336
Republic of Korea,0.014846767040728086,0.026111028476044077,-0.0009073330358470923,0.10051233741550564,-0.11261011122680019,-0.04430249576265741,-0.033351513048077076,0.02402201398185336
Lebanon,-0.11869379667733579,-0.019454732510288043,-0.04790466392318247,0.0368175582990398,-0.10082990397805212,-0.08753467459228775,-0.07551440329218108,-0.07054971638304973
Libya,-0.14026735522741335,-0.07094292359992842,-0.0934011863963555,-0.05184290570764002,-0.01742089544021909,-0.10928943108843554,-0.10717525758971229,-0.08543167378508744
"China, Macao SAR",0.04519232576056523,0.032268121276484506,-0.02907811689173694,0.10588360707835023,-0.09999436821420098,-0.0452495935330368,-0.03819816271350557,0.0029952853115582955
Morocco,-0.11146547782350252,-0.017362825788751698,-0.0476954732510288,-0.043093278463648826,-0.03451646090534979,-0.052437128486511206,-0.06728395061728394,-0.051682098765432095
Maldives,-0.14005896246654814,-0.04602597464323482,-0.05327415962642144,-0.09917933118660316,0.013059302076643126,-0.08282901638021464,-0.08951513630442316,-0.07807001848869805
Mexico,-0.0996386457379365,-0.04275131599785376,-0.06459769462133527,0.04496576955205795,0.017889409204862608,-0.06272461742924418,-0.09212522214886282,-0.05614531729181412
Myanmar,-0.1345907636031093,-0.032424554183813445,-0.016526063100137194,-0.0064849108367627,-0.0,-0.1140691088023742,-0.10973936899862825,0.005509259259259282
Mongolia,-0.002797705490210543,0.024520518347678866,-0.01747086932272117,0.0695769708115387,-0.04597597190189784,-0.036848890072484035,-0.051900988882746774,-0.01826131687242799
Malaysia,-0.09464463382077365,0.012713949457623825,-0.06662874264634444,-0.0243763692608577,-0.09282139040114837,-0.05509378098303658,-0.04504165412024492,-0.04155971152670822
Nigeria,-0.12674845369437027,-0.047790852021517616,-0.07336047985468626,-0.055299393528083,0.01795961954948751,-0.10574710462705321,-0.08816439596734456,-0.09447846009164217
Nicaragua,-0.12978966620941929,-0.05982853223593964,-0.08576817558299038,-0.007530864197530872,0.032842935528120724,-0.09615797896662094,-0.10747599451303157,-0.08771090534979425
Northern Ireland,-0.016579070400682273,-0.006004105852245544,-0.04145692136074318,0.07748155647421656,-0.07119154081948315,-0.01763951786500973,-0.05352672019338687,-0.04330785812267295
Netherlands,0.056306106931676564,0.007276197292300329,-0.0653645056758315,0.10586867060297013,-0.08925468678555101,0.05963035159916251,-0.03742766558562488,-0.06661780514023259
New Zealand,0.03318145367900317,0.007243499149312265,0.00023771667290186486,0.09437351914203768,-0.07702020202020204,0.03653211127810176,-0.0945572540370624,-0.04084423745102389
